cod_tuss,desc_procediemento,rol_ans,subgrupo,grupo,capitulo
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico","TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE","CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
10105050,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",---,---,---,---
10105069,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico",---,---,---,---
10105077,"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco",ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
10106014,Aconselhamento genético,ACONSELHAMENTO GENÉTICO,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
10106030,Atendimento ao familiar do adolescente,CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
10106049,Atendimento pediátrico a gestantes (3º trimestre),ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE),"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
10106065,"Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação da CNH (Carteira Nacional de Habilitação)",---,---,---,---
10106073,Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional,---,---,---,---
10106090,"Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8",Conforme CONSU nº 8 - Que dispõe sobre mecanismos de regulação nos Planos e Seguros Privados de Assistência à Saúde,---,---,---
10106103,Perícia médica,---,---,---,---
10106111,"Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pelas Secretaria da Receita Federal e da Fazenda Estadual, a quem fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular",---,---,---,---
10106120,"Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor",---,---,---,---
10106138,Prova de direção veicular em banca especial - Avaliação Clínica durante a prova de direção veicular procedida por dois médicos simultaneamente,---,---,---,---
10106146,Atendimento ambulatorial em puericultura,CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
20101015,Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20101023,Análise da proporcionalidade cineantropométrica,CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
20101074,Avaliação nutrológica (inclui consulta),CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
20101082,Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta),CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
20101090,Avaliação da composição corporal por antropometria (inclui consulta),CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
20101104,Avaliação da composição corporal por bioimpedanciometria,BIOIMPEDANCIOMETRIA,PROCEDIMENTOS,EXAMES ESPECÍFICOS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
20101112,Avaliação da composição corporal por pesagem hidrostática,---,---,---,---
20101120,Controle anti-doping (por período de 2 horas) - durante competições,---,---,---,---
20101139,Controle anti-doping (por período de 2 horas) - fora de competições,---,---,---,---
20101155,Prestação de serviços em delegações ou competições esportivas,---,---,---,---
20101171,Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20101198,Teste e adaptação de lente de contato (sessão) - binocular,---,---,---,---
20101201,"Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)","AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS)",AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20101210,Acompanhamento clínico ambulatorial pós-transplante de córnea -por avaliação do 11º ao 30º dia até 3 avaliações,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20101228,Acompanhamento clínico ambulatorial pós-transplante de medula óssea,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20101236,Avaliação geriátrica ampla - AGA,CONSULTA MÉDICA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
20102011,Holter de 24 horas - 2 ou mais canais - analógico,HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20102020,Holter de 24 horas - 3 canais - digital,HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20102062,Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER),---,---,---,---
20102070,Tilt teste,TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20102089,Sistema Holter - 12 horas - 1 canal,---,---,---,---
20102097,Sistema Holter - 12 horas - 2 ou mais canais,---,---,---,---
20102100,Sistema Holter - 24 horas - 1 canal,---,---,---,---
20102119,Monitorização eletrocardiográfica programada com transcrição - não contínua,---,---,---,---
20102127,Holter 7 dias,---,---,---,---
20102135,Holter cerebral,---,---,---,---
20102143,Tilt teste com provas farmacológicas,---,---,---,---
20103018,Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular,ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103026,Amputação bilateral (preparação do coto),AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103034,Amputação bilateral (treinamento protético),AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103042,Amputação unilateral (preparação do coto),AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103050,Amputação unilateral (treinamento protético),AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103069,Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103077,Ataxias,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103093,Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103093,Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas,REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103107,Atendimento fisiátrico no pré e pós-parto,REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103107,Atendimento fisiátrico no pré e pós-parto,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103107,Atendimento fisiátrico no pré e pós-parto,REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103115,Atividade reflexa ou aplicação de técnica cinesioterápica específica,---,---,---,---
20103123,Atividades em escola de postura (máximo de 10 pessoas) - por sessão,---,---,---,---
20103131,Biofeedback com EMG,BIOFEEDBACK COM EMG,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal","BLOQUEIO COM TOXINA BOTULÍNICA TIPO A PARA TRATAMENTO DE DISTONIAS FOCAIS, ESPASMO HEMIFACIAL E ESPASTICIDADE (COM DIRETRIZ DE UTILIZAÇÃO)",NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",BLOQUEIO FENÓLICO E/OU ALCOÓLICO,NERVOS PERIFÉRICOS,SISTEMA NERVOSO - CENTRAL E PERIFÉRICO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
20103158,Confecção de órteses em material termo-sensível (por unidade),#REF!,---,---,---
20103166,Confecção de prótese imediata,#REF!,---,---,---
20103174,Confecção de prótese provisória,#REF!,---,---,---
20103182,Desvios posturais da coluna vertebral,REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS),REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103190,Disfunção vésico-uretral,REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103204,Distrofia simpático-reflexa,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103212,Distúrbios circulatórios artério-venosos e linfáticos,REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103220,Doenças pulmonares atendidas em ambulatório,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103239,Exercícios de ortóptica (por sessão),EXERCÍCIOS DE ORTÓPTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103247,Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103255,Exercícios para reabilitação do asmático (ERAI) - por sessão individual,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103263,Hemiparesia,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103271,Hemiplegia,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103280,Hemiplegia e hemiparesia com afasia,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103298,Hipo ou agenesia de membros,REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103298,Hipo ou agenesia de membros,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103310,Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103328,Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103336,Manipulação vertebral,---,---,---,---
20103344,Miopatias,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103360,Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória,REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103379,"Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três vezes por semana",REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103387,"Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas",REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103395,"Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de programa",REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103409,Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar,REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103417,"Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto risco, atendido em ambulatório, duas a três vezes por semana",REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103425,Paralisia cerebral,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103433,Paralisia cerebral com distúrbio de comunicação,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103441,Paraparesia/tetraparesia,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103450,Paraplegia e tetraplegia,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103468,Parkinson,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103476,Patologia neurológica com dependência de atividades da vida diária,REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
20103476,Patologia neurológica com dependência de atividades da vida diária,REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
